依頼内容,判断結果,判断理由,実際の結果,優先度,日付,カテゴリ,金額,ROI,導入期間
SFAツール導入30万円,承認,営業効率化が見込める・ROI明確,営業効率35%向上・5ヶ月でROI達成,高,2024-01-15,営業系ツール,300000,235%,3ヶ月
オンライン研修プラットフォーム15万円,承認,人材育成は長期的投資・少額,全社スキル向上・離職率10%改善,高,2024-02-20,人材投資,150000,180%,1ヶ月
MA導入25万円,承認,マーケティング効率化・実績あり,リード獲得2.5倍・売上20%増,高,2024-03-10,マーケティング,250000,320%,2ヶ月
リモートワークツール月3万円,承認,働き方改革・生産性向上期待,通勤時間削減で生産性25%向上,高,2023-12-05,インフラ,36000,無限大,2週間
データ分析ツール月5万円,承認,データドリブン経営必須,意思決定スピード2倍・売上予測精度90%,高,2024-01-25,分析ツール,60000,280%,1ヶ月
SNS広告50万円,承認,新規顧客開拓・テスト実施,効果は想定の30%・ターゲティング失敗,高,2023-11-15,広告,500000,60%,即時
高額セミナー参加20万円,承認,管理職研修・実績ある講師,実務に活かせず・費用対効果なし,高,2023-10-20,研修,200000,0%,2日間
新規ECプラットフォーム80万円,承認,EC売上拡大・将来性あり,既存システムとの連携不可・追加費用発生,中,2024-02-01,システム,800000,-20%,6ヶ月
展示会出展100万円,却下,費用対効果不明・リスク高,他社実績も低く却下が正解,高,2023-09-10,イベント,1000000,不明,3ヶ月準備
不明確なコンサルティング60万円,却下,成果物不明確・実績なし,具体性なく却下で問題回避,高,2023-12-20,コンサル,600000,不明,不明
重複機能のツール月8万円,却下,既存ツールで代替可能,既存ツールで代替可能・却下正解,中,2024-01-05,ツール,96000,0%,即時
新CRM導入80万円,条件付き承認,部分導入から開始,部分導入後に全社展開で成功,高,2023-11-01,CRM,800000,250%,段階的6ヶ月
AI分析ツール40万円,条件付き承認,3ヶ月試用期間設定,試用期間で効果確認後・本格導入,高,2024-03-01,AI/新技術,400000,200%,試用3ヶ月
クラウドストレージ増設月2万円,承認,データ増加対応・必須,業務継続性確保・トラブル回避,中,2024-02-15,インフラ,24000,業務継続,即時
社内SNSツール月4万円,却下,コミュニケーションは既存で十分,Slackで十分・却下正解,低,2023-10-01,コミュニケーション,48000,0%,1ヶ月