日付,店舗ID,店舗名,地域,商品ID,商品名,カテゴリ,売上金額,数量,顧客ID,顧客区分
2024-01-01,S001,新宿店,関東,P001,ノートPC,IT機器,120000,1,C001,新規
2024-01-01,S002,大阪店,関西,P002,スマートフォン,IT機器,80000,1,C002,既存
2024-01-01,S003,名古屋店,中部,P003,タブレット,IT機器,45000,1,C003,VIP
2024-01-02,S001,新宿店,関東,P004,プリンター,IT機器,25000,1,C004,既存
2024-01-02,S004,福岡店,九州,P005,マウス,IT機器,3000,2,C005,新規
2024-01-03,S002,大阪店,関西,P001,ノートPC,IT機器,120000,1,C006,既存
2024-01-03,S005,札幌店,北海道,P006,キーボード,IT機器,8000,1,C007,新規
2024-01-04,S003,名古屋店,中部,P007,モニター,IT機器,35000,1,C008,VIP
2024-01-04,S001,新宿店,関東,P002,スマートフォン,IT機器,80000,1,C009,既存
2024-01-05,S006,広島店,中国,P008,イヤホン,IT機器,15000,3,C010,新規
2024-01-06,S002,大阪店,関西,P009,Webカメラ,IT機器,5000,4,C011,既存
2024-01-06,S004,福岡店,九州,P010,外付けHDD,IT機器,12000,1,C012,新規
2024-01-07,S007,仙台店,東北,P011,USBメモリ,IT機器,2000,5,C013,既存
2024-01-07,S001,新宿店,関東,P003,タブレット,IT機器,45000,1,C014,VIP
2024-01-08,S008,静岡店,中部,P012,ルーター,IT機器,8000,1,C015,新規
2024-01-08,S002,大阪店,関西,P013,スピーカー,IT機器,6000,2,C016,既存
2024-01-09,S003,名古屋店,中部,P014,充電器,IT機器,3000,3,C017,新規
2024-01-09,S005,札幌店,北海道,P015,ケーブル,IT機器,1500,6,C018,既存
2024-01-10,S009,岡山店,中国,P016,マウスパッド,IT機器,800,8,C019,新規
2024-01-10,S004,福岡店,九州,P017,ソフトウェア,IT機器,15000,1,C020,VIP
2024-01-11,S010,金沢店,中部,P018,バッテリー,IT機器,4000,2,C021,既存
2024-01-11,S001,新宿店,関東,P019,メモリ,IT機器,8000,1,C022,新規
2024-01-12,S006,広島店,中国,P020,SSD,IT機器,15000,1,C023,既存
2024-01-12,S002,大阪店,関西,P021,グラフィックカード,IT機器,50000,1,C024,VIP
2024-01-13,S007,仙台店,東北,P022,CPUクーラー,IT機器,3000,1,C025,新規
2024-01-13,S003,名古屋店,中部,P023,マザーボード,IT機器,20000,1,C026,既存
2024-01-14,S011,高松店,四国,P024,電源ユニット,IT機器,12000,1,C027,新規
2024-01-14,S008,静岡店,中部,P025,PCケース,IT機器,8000,1,C028,既存
2024-01-15,S012,鹿児島店,九州,P026,液晶ペンタブ,IT機器,30000,1,C029,VIP
2024-01-15,S001,新宿店,関東,P027,ヘッドセット,IT機器,7000,2,C030,既存