日付,商品名,売上金額,数量,地域,エラー種別
2024-01-01,ノートPC,120000,1,東京,
2024-01-02,,80000,1,大阪,欠損値エラー
2024-01-03,タブレット,45000,1,名古屋,
2024-01-04,プリンター,999999999,1,福岡,異常値エラー
2024-01-05,マウス,3000,abc,東京,データ型エラー
2024-01-06,キーボード,8000,1,大阪,
2024-01-07,モニター,-35000,1,名古屋,負値エラー
2024-01-08,イヤホン,15000,,福岡,欠損値エラー
2024-01-09,Webカメラ,5000,1,東京,
2024-01-10,外付けHDD,12000,1,大阪,
2024-01-11,USBメモリ,2000,1,？？？,不正地域名
2024-01-12,ルーター,8000,1,名古屋,
2024-01-13,スピーカー,,2,福岡,欠損値エラー
2024-01-14,充電器,3000,-1,東京,負値エラー
2024-01-15,ケーブル,1500,1,大阪,
2024-01-16,マウスパッド,800,1,名古屋,
2024-01-17,ソフトウェア,15000,1,福岡,
2024-01-18,バッテリー,4000,1,東京,
2024-01-19,メモリ,8000,1,大阪,
2024-01-20,SSD,15000,1,名古屋,
2024-01-21,グラフィックカード,50000,1,福岡,
2024-01-22,CPUクーラー,3000,1,東京,
2024-01-23,マザーボード,20000,1,大阪,
2024-01-24,電源ユニット,12000,1,名古屋,
2024-01-25,PCケース,8000,1,福岡,
2024-01-26,液晶ペンタブ,30000,1,東京,
2024-01-27,ヘッドセット,7000,1,大阪,
2024-01-28,ゲーミングチェア,40000,1,名古屋,
2024-01-29,デスクライト,5000,1,福岡,
2024-01-30,Bluetooth機器,6000,1,東京,